title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,movie_id,averagerating,numvotes
Toy Story 3,BV,415000000.0,652000000,2010,tt0435761,Toy Story 3,Toy Story 3,2010,103.0,"Adventure,Animation,Comedy",tt0435761,8.3,682218
Inception,WB,292600000.0,535700000,2010,tt1375666,Inception,Inception,2010,148.0,"Action,Adventure,Sci-Fi",tt1375666,8.8,1841066
Shrek Forever After,P/DW,238700000.0,513900000,2010,tt0892791,Shrek Forever After,Shrek Forever After,2010,93.0,"Adventure,Animation,Comedy",tt0892791,6.3,167532
The Twilight Saga: Eclipse,Sum.,300500000.0,398000000,2010,tt1325004,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",tt1325004,5.0,211733
Iron Man 2,Par.,312400000.0,311500000,2010,tt1228705,Iron Man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",tt1228705,7.0,657690
Tangled,BV,200800000.0,391000000,2010,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",tt0398286,7.8,366366
Despicable Me,Uni.,251500000.0,291600000,2010,tt1323594,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",tt1323594,7.7,464511
How to Train Your Dragon,P/DW,217600000.0,277300000,2010,tt0892769,How to Train Your Dragon,How to Train Your Dragon,2010,98.0,"Action,Adventure,Animation",tt0892769,8.1,611299
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"Adventure,Family,Fantasy",tt0980970,6.3,129663
The King's Speech,Wein.,135500000.0,275400000,2010,tt1504320,The King's Speech,The King's Speech,2010,118.0,"Biography,Drama,History",tt1504320,8.0,593629
The Karate Kid,Sony,176600000.0,182500000,2010,tt1155076,The Karate Kid,The Karate Kid,2010,140.0,"Action,Drama,Family",tt1155076,6.2,146401
Prince of Persia: The Sands of Time,BV,90800000.0,245600000,2010,tt0473075,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2010,116.0,"Action,Adventure,Fantasy",tt0473075,6.6,254975
Black Swan,FoxS,107000000.0,222400000,2010,tt0947798,Black Swan,Black Swan,2010,108.0,"Drama,Thriller",tt0947798,8.0,648854
Megamind,P/DW,148400000.0,173500000,2010,tt1001526,Megamind,Megamind,2010,95.0,"Action,Animation,Comedy",tt1001526,7.3,207488
Robin Hood,Uni.,105300000.0,216400000,2010,tt0955308,Robin Hood,Robin Hood,2010,140.0,"Action,Adventure,Drama",tt0955308,6.6,239480
Robin Hood,Uni.,105300000.0,216400000,2010,tt2363363,Robin Hood,Robin Hood,2013,92.0,"Action,Drama",tt2363363,6.3,78
Robin Hood,Uni.,105300000.0,216400000,2010,tt4532826,Robin Hood,Robin Hood,2018,116.0,"Action,Adventure,Thriller",tt4532826,5.3,41588
Robin Hood,Uni.,105300000.0,216400000,2010,tt6858500,Robin Hood,Robin Hood,2018,,,tt6858500,7.6,5
The Last Airbender,Par.,131800000.0,187900000,2010,tt0938283,The Last Airbender,The Last Airbender,2010,103.0,"Action,Adventure,Family",tt0938283,4.1,137734
Little Fockers,Uni.,148400000.0,162200000,2010,tt0970866,Little Fockers,Little Fockers,2010,98.0,"Comedy,Romance",tt0970866,5.5,99222
Resident Evil: Afterlife,SGem,60100000.0,240100000,2010,tt1220634,Resident Evil: Afterlife,Resident Evil: Afterlife,2010,96.0,"Action,Adventure,Horror",tt1220634,5.9,153270
Shutter Island,Par.,128000000.0,166800000,2010,tt1130884,Shutter Island,Shutter Island,2010,138.0,"Mystery,Thriller",tt1130884,8.1,1005960
Salt,Sony,118300000.0,175200000,2010,tt0944835,Salt,Salt,2010,100.0,"Action,Mystery,Thriller",tt0944835,6.4,277204
Sex and the City 2,WB (NL),95300000.0,193000000,2010,tt1261945,Sex and the City 2,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",tt1261945,4.4,69199
The Tourist,Sony,67600000.0,210700000,2010,tt1243957,The Tourist,The Tourist,2010,103.0,"Action,Adventure,Thriller",tt1243957,6.0,206714
The Expendables,LGF,103100000.0,171400000,2010,tt1320253,The Expendables,The Expendables,2010,103.0,"Action,Adventure,Thriller",tt1320253,6.5,307897
Grown Ups,Sony,162000000.0,109400000,2010,tt1375670,Grown Ups,Grown Ups,2010,102.0,Comedy,tt1375670,6.0,210377
True Grit,Par.,171200000.0,81000000,2010,tt1403865,True Grit,True Grit,2010,110.0,"Adventure,Drama,Western",tt1403865,7.6,284034
Gulliver's Travels,Fox,42800000.0,194600000,2010,tt1320261,Gulliver's Travels,Gulliver's Travels,2010,85.0,"Adventure,Comedy,Family",tt1320261,4.9,61178
The Social Network,Sony,97000000.0,128000000,2010,tt1285016,The Social Network,The Social Network,2010,120.0,"Biography,Drama",tt1285016,7.7,568578
Valentine's Day,WB (NL),110500000.0,106000000,2010,tt0817230,Valentine's Day,Valentine's Day,2010,125.0,"Comedy,Romance",tt0817230,5.7,107171
The Sorcerer's Apprentice,BV,63200000.0,152100000,2010,tt0963966,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family",tt0963966,6.1,143862
Due Date,WB,100500000.0,111200000,2010,tt1231583,Due Date,Due Date,2010,95.0,"Adventure,Comedy",tt1231583,6.5,303523
Eat Pray Love,Sony,80600000.0,124000000,2010,tt0879870,Eat Pray Love,Eat Pray Love,2010,133.0,"Drama,Romance",tt0879870,5.8,77709
Yogi Bear,WB,100200000.0,101300000,2010,tt1302067,Yogi Bear,Yogi Bear,2010,80.0,"Adventure,Animation,Comedy",tt1302067,4.6,18934
Red,Sum.,90400000.0,108600000,2010,tt2181948,Red,Red,2014,,Thriller,tt2181948,5.8,9
Red,Sum.,90400000.0,108600000,2010,tt4170206,Red,Red,2014,107.0,Drama,tt4170206,8.4,8
Red,Sum.,90400000.0,108600000,2010,tt8851190,Red,Red,2018,90.0,Drama,tt8851190,8.1,26
Paranormal Activity 2,Par.,84800000.0,92800000,2010,tt1536044,Paranormal Activity 2,Paranormal Activity 2,2010,91.0,Horror,tt1536044,5.7,93122
The A-Team,Fox,77200000.0,100000000,2010,tt0429493,The A-Team,The A-Team,2010,117.0,"Action,Adventure,Thriller",tt0429493,6.8,235256
The Other Guys,Sony,119200000.0,51200000,2010,tt1386588,The Other Guys,The Other Guys,2010,107.0,"Action,Comedy,Crime",tt1386588,6.7,221664
Unstoppable,Fox,81600000.0,86200000,2010,tt0477080,Unstoppable,Unstoppable,2010,98.0,"Action,Thriller",tt0477080,6.8,173019
Unstoppable,Fox,81600000.0,86200000,2010,tt3070502,Unstoppable,Unstoppable,2013,65.0,Documentary,tt3070502,4.3,551
Unstoppable,Fox,81600000.0,86200000,2010,tt9225192,Unstoppable,Seongnan hwangso,2018,116.0,"Action,Crime",tt9225192,6.5,576
Unstoppable,Fox,81600000.0,86200000,2010,tt9906218,Unstoppable,Unstoppable,2019,84.0,Documentary,tt9906218,8.1,8
The Book of Eli,WB,94800000.0,62300000,2010,tt1037705,The Book of Eli,The Book of Eli,2010,118.0,"Action,Adventure,Drama",tt1037705,6.9,271307
The Town,WB,92200000.0,61800000,2010,tt0840361,The Town,The Town,2010,125.0,"Crime,Drama,Thriller",tt0840361,7.6,322524
Date Night,Fox,98700000.0,53600000,2010,tt1279935,Date Night,Date Night,2010,88.0,"Comedy,Crime,Romance",tt1279935,6.3,144683
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000,2010,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,"Action,Adventure,Animation",tt1219342,7.0,73790
The Wolfman,Uni.,62000000.0,77800000,2010,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",tt0780653,5.8,97873
The Bounty Hunter,Sony,67099999.0,69300000,2010,tt1038919,The Bounty Hunter,The Bounty Hunter,2010,110.0,"Action,Comedy,Romance",tt1038919,5.6,112444
The Bounty Hunter,Sony,67099999.0,69300000,2010,tt1472211,The Bounty Hunter,The Bounty Hunter,2010,,,tt1472211,6.3,29
Wall Street: Money Never Sleeps,Fox,52500000.0,82300000,2010,tt1027718,Wall Street: Money Never Sleeps,Wall Street: Money Never Sleeps,2010,133.0,Drama,tt1027718,6.2,93486
The Fighter,Par.,93600000.0,35600000,2010,tt0964517,The Fighter,The Fighter,2010,116.0,"Biography,Drama,Sport",tt0964517,7.8,316539
Predators,Fox,52000000.0,75200000,2010,tt1424381,Predators,Predators,2010,107.0,"Action,Adventure,Sci-Fi",tt1424381,6.4,199764
Dear John,SGem,80000000.0,35000000,2010,tt0989757,Dear John,Dear John,2010,108.0,"Drama,Romance,War",tt0989757,6.3,128657
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000,2010,tt1287468,Cats & Dogs: The Revenge of Kitty Galore,Cats & Dogs: The Revenge of Kitty Galore,2010,82.0,"Action,Comedy,Family",tt1287468,4.3,12642
Tooth Fairy,Fox,60000000.0,52400000,2010,tt0808510,Tooth Fairy,Tooth Fairy,2010,101.0,"Comedy,Family,Fantasy",tt0808510,5.0,37939
Tooth Fairy,Fox,60000000.0,52400000,2010,tt7906260,Tooth Fairy,Toof,2019,86.0,Horror,tt7906260,2.6,64
Life as We Know It,WB,53400000.0,52300000,2010,tt1055292,Life as We Know It,Life as We Know It,2010,114.0,"Comedy,Drama,Romance",tt1055292,6.6,113077
Hereafter,WB,32700000.0,72500000,2010,tt1212419,Hereafter,Hereafter,2010,129.0,"Drama,Fantasy,Romance",tt1212419,6.5,87288
The Girl with the Dragon Tattoo,MBox,10100000.0,94300000,2010,tt1568346,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,2011,158.0,"Crime,Drama,Mystery",tt1568346,7.8,387580
